[18:54:21	]ISpilledMyRamen has connected.
[23:10:24	]Jenifer Maesroe exited observer at their location.
[23:10:51	]reece has connected.
[23:11:13	]Jenifer Maesroe has spawned a mop_radio.
[23:12:39	]reece loaded the character 'S10/OWS.SAVAGE-36'
[23:12:44	]S10/OWS.SAVAGE-36 is fully healed.
[23:13:25	]Jenifer Maesroe has given himself a cca_elephant.
[23:13:25	]Jenifer Maesroe has gained a 'Elephant Hunter' #1658890.
[23:13:32	][IC] S10/OWS.SAVAGE-36: <:: Haha. ::>
[23:13:44	]S10/APF.SAVAGE-37 used command '/SetOwnName S10/APF.SAVAGE-37'.
[23:13:45	]Jenifer Maesroe has given himself a cca_legs_elephant.
[23:13:45	]Jenifer Maesroe has gained a 'Elephant Hunter Trousers' #1658891.
[23:13:45	][IC] S10/APF.SAVAGE-37: <:: Haha. ::>
[23:13:46	]S10/APF.SAVAGE-37 entered observer.
[23:13:49	]S10/APF.SAVAGE-37 exited observer at their location.
[23:14:01	]S10/APF.SAVAGE-37 ran 'take' on item 'MOP Radio' (#1658889)
[23:14:01	]S10/APF.SAVAGE-37 has gained a 'MOP Radio' #1658889.
[23:14:04	]S10/APF.SAVAGE-37 ran 'ToggleOn' on item 'MOP Radio' (#1658889)
[23:14:10	]Jenifer Maesroe used command '/Radio minister test one two'.
[23:14:11	]S10/APF.SAVAGE-37 used command '/SC MOP'.
[23:14:14	]S10/APF.SAVAGE-37 used command '/Radio idle3'.
[23:14:20	]Jenifer Maesroe used command '/Radio Copy'.
[23:14:22	]S10/APF.SAVAGE-37 used command '/Radio copy'.
[23:14:26	]S10/APF.SAVAGE-37 used command '/Radio haha'.
[23:14:29	]Jenifer Maesroe used command '/Radio yeah'.
[23:14:33	][IC] S10/APF.SAVAGE-37: <:: Friendly. ::>
[23:14:38	]Jenifer Maesroe used command '/Radio Its working'.
[23:14:40	][IC] S10/APF.SAVAGE-37: <:: Cease fire, target is friendly. ::>
[23:14:51	]Jenifer Maesroe entered observer.
[23:14:53	]Jenifer Maesroe exited observer at their location.
[23:14:57	]Jenifer Maesroe used command '/Radio get down'.
[23:15:09	]S10/APF.SAVAGE-37 used command '/Radio negative'.
[23:15:19	]Jenifer Maesroe used command '/Radio oh no'.
[23:15:20	][IC] S10/APF.SAVAGE-37: <:: Searching shadows. ::>
[23:15:31	]S10/APF.SAVAGE-37 used command '/Radio area secure'.
[23:15:36	]Jenifer Maesroe used command '/Radio Negative'.
[23:15:39	][IC] S10/APF.SAVAGE-37: <:: Sector is secure, no viscon. ::>
[23:15:44	][IC] S10/APF.SAVAGE-37: <:: Overwatch, sector is not secure! ::>
[23:15:50	][IC] S10/APF.SAVAGE-37: <:: Pushing. ::>
[23:15:52	][IC] S10/APF.SAVAGE-37: <:: Pushing forward. ::>
[23:15:53	][IC] S10/APF.SAVAGE-37: <:: Pushing. ::>
[23:15:55	][IC] S10/APF.SAVAGE-37: <:: Pushing3. ::>
[23:16:02	][IC] S10/APF.SAVAGE-37: <:: APF, pushing. ::>
[23:16:25	]S10/APF.SAVAGE-37 entered observer.
[23:16:30	]S10/APF.SAVAGE-37 ran 'Equip' on item 'OSPR2A-EXP' (#1651981)
[23:16:31	]S10/APF.SAVAGE-37 has lost a '24rnd Heavy-Pulse Magazine' #1652036.
[23:16:38	]S10/APF.SAVAGE-37 exited observer at their location.
[23:16:59	]S10/APF.SAVAGE-37 has critically hit Jenifer Maesroe in the head dealing 29 damage (CritChance was 1.01).
[23:16:59	]Jenifer Maesroe has taken 29 damage from S10/APF.SAVAGE-37.
[23:17:04	][IC] S10/APF.SAVAGE-37: <:: Haha. ::>
[23:17:04	][Y] Jenifer Maesroe: Ouch!
[23:17:11	]Jenifer Maesroe ran 'Equip' on item 'M4A1' (#1657765)
[23:17:12	]S10/APF.SAVAGE-37 used command '/Handsignals'.
[23:17:15	]S10/APF.SAVAGE-37 used command '/Handsignals'.
[23:17:18	]Jenifer Maesroe has lost a '30rnd M4-magazine' #1657825.
[23:17:35	][IC] Jenifer Maesroe: Shit!
[23:17:41	][IC] Jenifer Maesroe: What is the bind for toggle raise?
[23:17:51	][IC] S10/APF.SAVAGE-37: <:: Err. ::>
[23:18:05	]S10/APF.SAVAGE-37 used command '/ToggleRaise'.
[23:18:09	][IC] S10/APF.SAVAGE-37: <:: /toggleraise. ::>
[23:18:53	]Jenifer Maesroe used command '/ToggleRaise'.
[23:18:57	][IC] Jenifer Maesroe: Got it lol.
[23:19:00	][IC] S10/APF.SAVAGE-37: <:: Missing hostile, sector unknown. ::>
[23:19:13	][IC] Jenifer Maesroe: Couldn't have put it better myself.
[23:19:20	]S10/OWH.SAVAGE-37 used command '/SetOwnName S10/OWH.SAVAGE-37'.
[23:19:23	][IC] S10/OWH.SAVAGE-37: <:: 10-4. ::>
[23:19:24	]Jenifer Maesroe has gained a '30rnd M4-magazine' #1657825.
[23:19:24	]Jenifer Maesroe has lost a '30rnd M4-magazine' #1657768.
[23:19:26	][IC] S10/OWH.SAVAGE-37: <:: Negative. ::>
[23:19:28	][IC] Jenifer Maesroe: That... Almost made sense.
[23:19:30	][IC] S10/OWH.SAVAGE-37: <:: Copy that. Sustaining viscon at sector NOMAD-KILO-THREE-DASH-SIX. ::>
[23:19:34	][IC] S10/OWH.SAVAGE-37: <:: Echo-One has negative movement. Grid SEVEN-DASH-TWO. ::>
[23:19:37	][IC] Jenifer Maesroe: Finally change is in the air!
[23:19:39	][IC] S10/OWH.SAVAGE-37: <:: Viscon! ::>
[23:19:43	][IC] S10/OWH.SAVAGE-37: <:: Area secure. ::>
[23:19:45	][IC] Jenifer Maesroe: I don't know about you, but I'm ready to join Civil Protection just to get a decent meal.
[23:19:45	][IC] S10/OWH.SAVAGE-37: <:: Secure. ::>
[23:19:47	][IC] S10/OWH.SAVAGE-37: <:: Secure. ::>
[23:19:51	][IC] S10/OWH.SAVAGE-37: <:: Apply. ::>
[23:19:53	][IC] S10/OWH.SAVAGE-37: <:: MACE. ::>
[23:19:54	][IC] S10/OWH.SAVAGE-37: <:: SAVAGE. ::>
[23:19:57	][IC] Jenifer Maesroe: He's done this before, he'll be okay!
[23:20:02	][IC] S10/OWH.SAVAGE-37: <:: Twenty. ::>
[23:20:05	][IC] S10/OWH.SAVAGE-37: <:: One. ::>
[23:20:16	][IC] S10/OWH.SAVAGE-37: <:: Eighty. ::>
[23:20:21	][IC] Jenifer Maesroe: You weren't followed, were ya?
[23:20:25	][IC] S10/OWH.SAVAGE-37: <:: ICE. Ice. Eighty. ::>
[23:20:29	][IC] S10/OWH.SAVAGE-37: <:: Haha. ::>
[23:20:30	][IC] S10/OWH.SAVAGE-37: <:: ICE. Ice. Eighty. ::>
[23:20:34	][IC] Jenifer Maesroe: Are we gonna get going, soon?
[23:20:37	][IC] S10/OWH.SAVAGE-37: <:: Negative. ::>
[23:20:43	][IC] Jenifer Maesroe: *Coughing*.
[23:20:46	][IC] S10/OWH.SAVAGE-37: <:: Holding position on APEX-KILO. ::>
[23:20:49	][IC] S10/OWH.SAVAGE-37: <:: Elaborate. ::>
[23:20:52	]S10/OWH.SAVAGE-37 used command '/Handsignals'.
[23:20:56	][IC] S10/OWH.SAVAGE-37: <:: Affirmative. ::>
[23:21:20	][IC] S10/OWH.SAVAGE-37: <:: Negative. ::>
[23:21:22	][IC] S10/OWH.SAVAGE-37: <:: Fuck you. ::>
[23:21:23	]S10/OWH.SAVAGE-37 has gained a '24rnd Heavy-Pulse Magazine' #1652036.
[23:21:23	]S10/OWH.SAVAGE-37 used command '/CharFallOver'.
[23:21:29	]reece (STEAM_0:1:158746618) has disconnected.
[23:21:45	]Rabithunter (STEAM_0:1:22394854) has disconnected.
